,,,,,,,,,,,,,,,,,,,,
,PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
,Deni Avdija,WAS,21,6-9,210,None,Israel,2020,1,9,66,7.3,5.0,1.7,1.7,2.8%,18.3%,14.6%,53.3%,10.0%
,Dennis Schroder,HOU,28,6-1,172,None,Germany,2013,1,17,57,13.8,3.4,4.7,-0.4,2.0%,9.6%,22.5%,53.2%,25.5%
,Dennis Smith Jr.,POR,24,6-2,205,North Carolina State,USA,2017,1,9,37,5.6,2.4,3.6,-9.8,2.9%,10.7%,17.3%,47.4%,31.1%
,Denzel Valentine,UTA,28,6-4,220,Michigan State,USA,2016,1,14,24,2.9,1.8,0.5,-5.1,4.0%,15.0%,15.0%,52.3%,7.4%
,Derrick Favors,OKC,30,6-9,265,Georgia Tech,USA,2010,1,3,39,5.3,4.7,0.6,-11.0,7.9%,17.8%,13.1%,53.4%,6.1%
,Derrick Jones Jr.,CHI,25,6-6,210,UNLV,USA,Undrafted,Undrafted,Undrafted,42,5.8,3.4,0.5,5.0,6.8%,12.3%,12.1%,64.4%,3.7%
,Derrick Rose,NYK,33,6-2,200,Memphis,USA,2008,1,1,26,12.0,3.0,4.0,5.8,3.2%,8.0%,21.7%,54.1%,26.6%
,Derrick Walton Jr.,DET,26,6-0,185,Michigan,USA,Undrafted,Undrafted,Undrafted,3,6.3,3.3,7.0,0.5,1.5%,6.8%,14.2%,34.2%,26.9%
,Derrick White,BOS,27,6-4,190,Colorado,USA,2017,1,29,62,13.6,3.5,5.0,3.6,1.8%,9.3%,20.1%,54.5%,24.1%
,Desmond Bane,MEM,23,6-5,215,TCU,USA,2020,1,30,65,17.8,4.5,2.6,4.2,1.8%,12.1%,22.4%,57.8%,12.7%
,Devin Booker,PHX,25,6-5,206,Kentucky,USA,2015,1,13,57,25.6,5.1,4.9,9.0,2.2%,11.8%,31.2%,56.0%,21.5%
,Devin Vassell,SAS,21,6-5,200,Florida State,USA,2020,1,11,59,11.8,4.4,1.8,1.1,2.0%,13.5%,18.4%,53.3%,9.1%
,Devon Dotson,CHI,22,6-1,185,Kansas,USA,Undrafted,Undrafted,Undrafted,11,2.6,0.8,1.4,-2.4,1.1%,10.5%,15.6%,53.8%,28.3%
,Devontae Cacok,SAS,25,6-7,240,North Carolina-Wilmington,USA,Undrafted,Undrafted,Undrafted,11,3.6,3.3,0.5,-1.1,6.6%,31.2%,13.4%,68.8%,8.3%
,Devonte' Graham,NOP,27,6-1,195,Kansas,USA,2018,2,34,64,12.6,2.5,4.4,0.1,1.6%,6.7%,19.5%,51.5%,21.2%
,Dewayne Dedmon,MIA,32,7-0,245,Southern California,USA,Undrafted,Undrafted,Undrafted,59,6.3,5.9,0.7,5.0,10.5%,25.4%,16.1%,63.2%,7.1%
,Didi Louzada,POR,22,6-5,188,None,Brazil,2019,2,35,2,0.0,1.0,0.5,-20.5,18.2%,0.0%,18.8%,0.0%,20.0%
,Dillon Brooks,MEM,26,6-7,225,Oregon,Canada,2017,2,45,22,18.3,3.2,2.8,9.5,2.9%,8.3%,28.4%,52.0%,15.2%
,Domantas Sabonis,SAC,25,6-11,240,Gonzaga,Lithuania,2016,1,11,58,18.6,12.2,5.2,-0.5,9.4%,26.5%,21.8%,63.8%,23.8%
