,,,,,,,,
,PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,LAST ATTENDED,COUNTRY
,"
Dwight
Howard",LAL,39,C-F,6-10,265 lbs,SW Atlanta Christian Academy (GA),USA
,"
Markus
Howard",DEN,0,G,5-10,175 lbs,Marquette,USA
,"
Kevin
Huerter",ATL,3,G-F,6-7,198 lbs,Maryland,USA
,"
Jay
Huff",,,F,7-1,240 lbs,Virginia,USA
,"
Elijah
Hughes",POR,19,G,6-5,215 lbs,Syracuse,USA
,"
De'Andre
Hunter",ATL,12,F-G,6-8,221 lbs,Virginia,USA
,"
Chandler
Hutchison",,,F-G,6-6,210 lbs,Boise State,USA
,"
Bones
Hyland",DEN,3,G,6-2,169 lbs,Virginia Commonwealth,USA
,"
Serge
Ibaka",MIL,25,F,6-10,235 lbs,Ricoh Manresa,Republic of the Congo
,"
Andre
Iguodala",GSW,9,G-F,6-6,215 lbs,Arizona,USA
,"
Joe
Ingles",POR,0,F-G,6-8,220 lbs,Maccabi Tel Aviv,Australia
,"
Brandon
Ingram",NOP,14,F,6-8,190 lbs,Duke,USA
,"
Kyrie
Irving",BKN,11,G,6-2,195 lbs,Duke,Australia
,"
Jonathan
Isaac",ORL,1,F,6-10,230 lbs,Florida State,USA
,"
Wes
Iwundu",,,F,6-6,195 lbs,Kansas State,USA
,"
Frank
Jackson",DET,5,G,6-3,205 lbs,Duke,USA
,"
Isaiah
Jackson",IND,23,F,6-10,205 lbs,Kentucky,USA
,"
Josh
Jackson",SAC,55,G-F,6-8,207 lbs,Kansas,USA
,"
Justin
Jackson",,,F,6-8,220 lbs,North Carolina,USA
,"
Reggie
Jackson",LAC,1,G,6-2,208 lbs,Boston College,USA
,"
Jaren
Jackson Jr.",MEM,13,F-C,6-11,242 lbs,Michigan State,USA
,"
LeBron
James",LAL,6,F,6-9,250 lbs,St. Vincent-St. Mary HS (OH),USA
,"
DeJon
Jarreau",,,G,6-5,185 lbs,Houston,USA
,"
DaQuan
Jeffries",,,G-F,6-5,222 lbs,Tulsa,USA
,"
Ty
Jerome",OKC,16,G-F,6-5,195 lbs,Virginia,USA
,"
Isaiah
Joe",PHI,7,G,6-4,165 lbs,Arkansas,USA
,"
Alize
Johnson",NOP,22,F,6-8,212 lbs,Missouri State,USA
,"
BJ
Johnson",,,F,6-6,200 lbs,La Salle,USA
,"
Cameron
Johnson",PHX,23,F,6-8,210 lbs,North Carolina,USA
,"
David
Johnson",TOR,13,G,6-4,203 lbs,Louisville,USA
,"
Jalen
Johnson",ATL,1,F,6-8,219 lbs,Duke,USA
,"
James
Johnson",BKN,16,F,6-7,240 lbs,Wake Forest,USA
,"
Joe
Johnson",,,G-F,6-7,240 lbs,Arkansas,USA
,"
Keldon
Johnson",SAS,3,F-G,6-6,220 lbs,Kentucky,USA
,"
Keon
Johnson",POR,6,G,6-4,185 lbs,Tennessee,USA
,"
Stanley
Johnson",LAL,14,F-G,6-6,242 lbs,Arizona,USA
,"
Tyler
Johnson",,,G,6-3,186 lbs,Fresno State,USA
,"
Nikola
Jokic",DEN,15,C,6-11,284 lbs,Mega Basket,Serbia
,"
Carlik
Jones",,,G,6-0,174 lbs,Louisville,USA
,"
Damian
Jones",SAC,30,C,6-11,245 lbs,Vanderbilt,USA
,"
Herbert
Jones",NOP,5,F,6-7,206 lbs,Alabama,USA
,"
Jemerrio
Jones",,,F,6-5,175 lbs,New Mexico State,USA
,"
Kai
Jones",CHA,23,C-F,6-10,221 lbs,Texas-Austin,Bahamas
,"
Mason
Jones",LAL,40,G,6-4,200 lbs,Arkansas,USA
,"
Tre
Jones",SAS,33,G,6-1,185 lbs,Duke,USA
,"
Tyus
Jones",MEM,21,G,6-0,196 lbs,Duke,USA
,"
Derrick
Jones Jr.",CHI,5,F,6-6,210 lbs,UNLV,USA
,"
DeAndre
Jordan",PHI,9,C,6-11,265 lbs,Texas A&M,USA
,"
Cory
Joseph",DET,18,G,6-3,200 lbs,Texas-Austin,Canada
,"
Georgios
Kalaitzakis",,,F,6-7,192 lbs,Panathinaikos,Greece
,"
Frank
Kaminsky",PHX,8,F-C,7-0,240 lbs,Wisconsin,USA
,"
Luke
Kennard",LAC,5,G,6-5,206 lbs,Duke,USA
,"
Braxton
Key",,,F,6-8,225 lbs,Virginia,USA
,"
George
King",,,F-G,6-6,220 lbs,Colorado Boulder,USA
,"
Louis
King",,,F,6-7,205 lbs,Oregon,USA
,"
Corey
Kispert",WAS,24,F,6-6,224 lbs,Gonzaga,USA
,"
Maxi
Kleber",DAL,42,F,6-10,240 lbs,Bayern Munich,Germany
,"
Brandon
Knight",,,G,6-2,182 lbs,Kentucky,USA
,"
Nathan
Knight",MIN,13,F-C,6-10,253 lbs,William & Mary,USA
